Ulasan
bagus diecastnya👍
2x charge r/c yg dibeli tidak bs belok kiri kanan hanya jalan lurus aja.. ditanya ktnya krn sudah di mainin tidak bs diganti..oklah..trus nanya lokasi dimana dan suruh ba... 
tank ini keren banget
sesuai deskripsi semoga awet.
"seller harus lebih teliti, ada kendala sedikit saat pengiriman, untuk barang bagus sesuai deskripsi, thanks."
"Barang sesuai pesanan,packing aman dan pengiriman cepat"
sudah diterima dgn baik. sejauh ini cukup bersih utk akuarium 40cm
Barang cepat sampai Packing Rapih dan berfungsi dg Baik
"belum dicoba, barang mantap, semoga awet"
trimksh anak saya suka... trimkash..........
"Rangka nya lumayan kuat, cuma rumah baut yg di senderan kepalanya nge lost, jadi copot"" an mulu, lumayan sih dengan harga segini, semoga awet"
"Kursi baru selesai rakit, mudah di pahami untuk pemasangan nya, built quality cukup baik, worth it untuk harga tertera, seller recomended. mantaaap 👍"
"produk bagus dan keren, memuaskan"
"kursinya lumayan, nga bisa tilt jauh., tapi jadinya terlalu rebahan. bahan nya oke lah buat harga 200rb an. hidrolik juga berfungsi dgn baik.
cuma masangnya walau gampang... "
berfungsi dg baik
barang ny bagus dan berkualitas bangat.moga barang awet dan bisa order yg barang yg lain.terima kasih banyak untuk toko dan barang berkualitas bagus
kualitas bagus dan berfungsi dengan baik
"Packing bagus, waktu diterima lock diff nya lepas tapi gampang dibaikin lg, overall RC mini yg keren!"
timbangan nya berfungsi dg baik
mantap kursinya. bagus dan cocok
"seller fast respon, 
brg kualitas oke 😎👍
terbaik👍💯"
"Bagus lucu 
Ada cacat robek di tangan"
mantap berfungsi dengan baik
drone murah meriah. kudu disetel biar bisa stabil. batre cepet abis karena kecil. ya seadanya gaes
"Bagus, worth it sesuai harga, luv it. 
tebal bahannya dan mungil"
paket kehujanan tembus sampai dalam tapi  alhamdulillah masih aman
"packingan ok, tdk ad kerusakan, terima kasih👍👍👍"
"sesuai deskripsi, packing cukup aman kualitas termyata cukup oke banget harga sangat murah"
mba barangnya blm jeterimq
